match,inn,bat_team,bowl_team,over,runs,wickets,total,last_4
1,1,SRH,RCB,1,7,0,207,7
1,1,SRH,RCB,2,23,1,207,23
1,1,SRH,RCB,3,29,1,207,29
1,1,SRH,RCB,4,33,1,207,33
1,1,SRH,RCB,5,42,1,207,35
1,1,SRH,RCB,6,59,1,207,36
1,1,SRH,RCB,7,64,1,207,35
1,1,SRH,RCB,8,75,1,207,42
1,1,SRH,RCB,9,84,1,207,42
1,1,SRH,RCB,10,88,1,207,29
1,1,SRH,RCB,11,98,2,207,34
1,1,SRH,RCB,12,106,2,207,31
1,1,SRH,RCB,13,124,2,207,40
1,1,SRH,RCB,14,132,2,207,44
1,1,SRH,RCB,15,151,2,207,53
1,1,SRH,RCB,16,155,3,207,49
1,1,SRH,RCB,17,162,3,207,38
1,1,SRH,RCB,18,179,3,207,47
1,1,SRH,RCB,19,191,4,207,40
1,1,SRH,RCB,20,207,4,207,52
2,1,RCB,DC,1,10,0,157,10
2,1,RCB,DC,2,19,0,157,19
2,1,RCB,DC,3,26,0,157,26
2,1,RCB,DC,4,30,1,157,30
2,1,RCB,DC,5,32,1,157,22
2,1,RCB,DC,6,41,2,157,22
2,1,RCB,DC,7,45,2,157,19
2,1,RCB,DC,8,53,2,157,23
2,1,RCB,DC,9,55,3,157,23
2,1,RCB,DC,10,61,3,157,20
2,1,RCB,DC,11,66,3,157,21
2,1,RCB,DC,12,74,3,157,21
2,1,RCB,DC,13,98,3,157,43
2,1,RCB,DC,14,114,3,157,53
2,1,RCB,DC,15,121,4,157,55
2,1,RCB,DC,16,134,4,157,60
2,1,RCB,DC,17,142,6,157,44
2,1,RCB,DC,18,144,6,157,30
2,1,RCB,DC,19,150,6,157,29
2,1,RCB,DC,20,157,8,157,23
3,1,KKR,MI,1,10,0,178,10
3,1,KKR,MI,2,19,0,178,19
3,1,KKR,MI,3,34,0,178,34
3,1,KKR,MI,4,44,0,178,44
3,1,KKR,MI,5,48,2,178,38
3,1,KKR,MI,6,59,2,178,40
3,1,KKR,MI,7,65,2,178,31
3,1,KKR,MI,8,67,3,178,23
3,1,KKR,MI,9,72,3,178,24
3,1,KKR,MI,10,79,3,178,20
3,1,KKR,MI,11,82,3,178,17
3,1,KKR,MI,12,89,4,178,22
3,1,KKR,MI,13,98,4,178,26
3,1,KKR,MI,14,107,4,178,28
3,1,KKR,MI,15,117,4,178,35
3,1,KKR,MI,16,131,4,178,42
3,1,KKR,MI,17,136,5,178,38
3,1,KKR,MI,18,144,5,178,37
3,1,KKR,MI,19,155,6,178,38
3,1,KKR,MI,20,178,7,178,47
4,1,RCB,KXIP,1,2,1,148,2
4,1,RCB,KXIP,2,7,1,148,7
4,1,RCB,KXIP,3,18,1,148,18
4,1,RCB,KXIP,4,19,2,148,19
4,1,RCB,KXIP,5,22,3,148,20
4,1,RCB,KXIP,6,23,3,148,16
4,1,RCB,KXIP,7,31,3,148,13
4,1,RCB,KXIP,8,34,3,148,15
4,1,RCB,KXIP,9,47,3,148,25
4,1,RCB,KXIP,10,53,3,148,30
4,1,RCB,KXIP,11,59,3,148,28
4,1,RCB,KXIP,12,65,3,148,31
4,1,RCB,KXIP,13,68,3,148,21
4,1,RCB,KXIP,14,70,4,148,17
4,1,RCB,KXIP,15,71,4,148,12
4,1,RCB,KXIP,16,80,4,148,15
4,1,RCB,KXIP,17,96,4,148,28
4,1,RCB,KXIP,18,115,4,148,45
4,1,RCB,KXIP,19,134,4,148,63
4,1,RCB,KXIP,20,148,4,148,68
5,1,SRH,MI,1,2,0,158,2
5,1,SRH,MI,2,5,0,158,5
5,1,SRH,MI,3,13,0,158,13
5,1,SRH,MI,4,17,0,158,17
5,1,SRH,MI,5,26,0,158,24
5,1,SRH,MI,6,34,0,158,29
5,1,SRH,MI,7,49,0,158,36
5,1,SRH,MI,8,52,0,158,35
5,1,SRH,MI,9,62,0,158,36
5,1,SRH,MI,10,75,0,158,41
5,1,SRH,MI,11,84,1,158,35
5,1,SRH,MI,12,93,1,158,41
5,1,SRH,MI,13,105,1,158,43
5,1,SRH,MI,14,110,2,158,35
5,1,SRH,MI,15,118,3,158,34
5,1,SRH,MI,16,126,4,158,33
5,1,SRH,MI,17,140,4,158,35
5,1,SRH,MI,18,147,5,158,37
5,1,SRH,MI,19,153,6,158,35
5,1,SRH,MI,20,158,8,158,32
6,1,KXIP,KKR,1,10,0,170,10
6,1,KXIP,KKR,2,21,0,170,21
6,1,KXIP,KKR,3,30,0,170,30
6,1,KXIP,KKR,4,45,0,170,45
6,1,KXIP,KKR,5,53,0,170,43
6,1,KXIP,KKR,6,57,1,170,36
6,1,KXIP,KKR,7,62,1,170,32
6,1,KXIP,KKR,8,67,2,170,22
6,1,KXIP,KKR,9,78,2,170,25
6,1,KXIP,KKR,10,95,2,170,38
6,1,KXIP,KKR,11,97,2,170,35
6,1,KXIP,KKR,12,98,3,170,31
6,1,KXIP,KKR,13,104,4,170,26
6,1,KXIP,KKR,14,119,4,170,24
6,1,KXIP,KKR,15,134,4,170,37
6,1,KXIP,KKR,16,138,4,170,40
6,1,KXIP,KKR,17,145,4,170,41
6,1,KXIP,KKR,18,156,7,170,37
6,1,KXIP,KKR,19,166,7,170,32
6,1,KXIP,KKR,20,170,9,170,32
7,1,RCB,MI,1,6,0,142,6
7,1,RCB,MI,2,7,0,142,7
7,1,RCB,MI,3,24,0,142,24
7,1,RCB,MI,4,28,0,142,28
7,1,RCB,MI,5,34,0,142,28
7,1,RCB,MI,6,41,0,142,34
7,1,RCB,MI,7,50,0,142,26
7,1,RCB,MI,8,53,0,142,25
7,1,RCB,MI,9,62,0,142,28
7,1,RCB,MI,10,66,1,142,25
7,1,RCB,MI,11,71,1,142,21
7,1,RCB,MI,12,76,1,142,23
7,1,RCB,MI,13,85,1,142,23
7,1,RCB,MI,14,104,1,142,38
7,1,RCB,MI,15,110,1,142,39
7,1,RCB,MI,16,114,2,142,38
7,1,RCB,MI,17,119,3,142,34
7,1,RCB,MI,18,127,4,142,23
7,1,RCB,MI,19,132,5,142,22
7,1,RCB,MI,20,142,5,142,28
8,1,KKR,SRH,1,3,0,172,3
8,1,KKR,SRH,2,9,0,172,9
8,1,KKR,SRH,3,14,1,172,14
8,1,KKR,SRH,4,20,1,172,20
8,1,KKR,SRH,5,33,1,172,30
8,1,KKR,SRH,6,40,2,172,31
8,1,KKR,SRH,7,47,2,172,33
8,1,KKR,SRH,8,53,2,172,33
8,1,KKR,SRH,9,67,2,172,34
8,1,KKR,SRH,10,75,2,172,35
8,1,KKR,SRH,11,87,2,172,40
8,1,KKR,SRH,12,94,2,172,41
8,1,KKR,SRH,13,108,2,172,41
8,1,KKR,SRH,14,117,2,172,42
8,1,KKR,SRH,15,124,3,172,37
8,1,KKR,SRH,16,136,3,172,42
8,1,KKR,SRH,17,150,3,172,42
8,1,KKR,SRH,18,154,4,172,37
8,1,KKR,SRH,19,163,5,172,39
8,1,KKR,SRH,20,172,6,172,36
9,1,DC,KXIP,1,8,0,188,8
9,1,DC,KXIP,2,17,0,188,17
9,1,DC,KXIP,3,22,0,188,22
9,1,DC,KXIP,4,27,0,188,27
9,1,DC,KXIP,5,41,0,188,33
9,1,DC,KXIP,6,49,0,188,32
9,1,DC,KXIP,7,55,1,188,33
9,1,DC,KXIP,8,64,2,188,37
9,1,DC,KXIP,9,71,2,188,30
9,1,DC,KXIP,10,83,2,188,34
9,1,DC,KXIP,11,90,2,188,35
9,1,DC,KXIP,12,97,3,188,33
9,1,DC,KXIP,13,103,4,188,32
9,1,DC,KXIP,14,110,4,188,27
9,1,DC,KXIP,15,120,4,188,30
9,1,DC,KXIP,16,131,5,188,34
9,1,DC,KXIP,17,144,5,188,41
9,1,DC,KXIP,18,153,6,188,43
9,1,DC,KXIP,19,169,6,188,49
9,1,DC,KXIP,20,188,6,188,57
10,1,DC,KKR,1,10,0,168,10
10,1,DC,KKR,2,19,0,168,19
10,1,DC,KKR,3,36,0,168,36
10,1,DC,KKR,4,41,0,168,41
10,1,DC,KKR,5,50,0,168,40
10,1,DC,KKR,6,53,0,168,34
10,1,DC,KKR,7,59,1,168,23
10,1,DC,KKR,8,63,2,168,22
10,1,DC,KKR,9,71,2,168,21
10,1,DC,KKR,10,83,2,168,30
10,1,DC,KKR,11,87,2,168,28
10,1,DC,KKR,12,98,2,168,35
10,1,DC,KKR,13,104,2,168,33
10,1,DC,KKR,14,109,3,168,26
10,1,DC,KKR,15,110,4,168,23
10,1,DC,KKR,16,119,4,168,21
10,1,DC,KKR,17,145,4,168,41
10,1,DC,KKR,18,152,5,168,43
10,1,DC,KKR,19,157,6,168,47
10,1,DC,KKR,20,168,7,168,49
11,1,SRH,KXIP,1,3,0,159,3
11,1,SRH,KXIP,2,9,0,159,9
11,1,SRH,KXIP,3,18,0,159,18
11,1,SRH,KXIP,4,21,0,159,21
11,1,SRH,KXIP,5,25,1,159,22
11,1,SRH,KXIP,6,29,1,159,20
11,1,SRH,KXIP,7,40,1,159,22
11,1,SRH,KXIP,8,42,1,159,21
11,1,SRH,KXIP,9,50,1,159,25
11,1,SRH,KXIP,10,54,3,159,25
11,1,SRH,KXIP,11,66,3,159,26
11,1,SRH,KXIP,12,75,3,159,33
11,1,SRH,KXIP,13,86,3,159,36
11,1,SRH,KXIP,14,96,3,159,42
11,1,SRH,KXIP,15,108,3,159,42
11,1,SRH,KXIP,16,115,4,159,40
11,1,SRH,KXIP,17,124,4,159,38
11,1,SRH,KXIP,18,134,4,159,38
11,1,SRH,KXIP,19,144,5,159,36
11,1,SRH,KXIP,20,159,6,159,44
12,1,SRH,DC,1,10,0,191,10
12,1,SRH,DC,2,12,1,191,12
12,1,SRH,DC,3,18,1,191,18
12,1,SRH,DC,4,28,1,191,28
12,1,SRH,DC,5,31,1,191,21
12,1,SRH,DC,6,39,1,191,27
12,1,SRH,DC,7,55,1,191,37
12,1,SRH,DC,8,64,1,191,36
12,1,SRH,DC,9,73,1,191,42
12,1,SRH,DC,10,80,1,191,41
12,1,SRH,DC,11,91,1,191,36
12,1,SRH,DC,12,98,1,191,34
12,1,SRH,DC,13,108,1,191,35
12,1,SRH,DC,14,127,1,191,47
12,1,SRH,DC,15,135,1,191,44
12,1,SRH,DC,16,148,1,191,50
12,1,SRH,DC,17,158,2,191,50
12,1,SRH,DC,18,170,2,191,43
12,1,SRH,DC,19,174,4,191,39
12,1,SRH,DC,20,191,4,191,43
13,1,KXIP,MI,1,8,0,198,8
13,1,KXIP,MI,2,15,0,198,15
13,1,KXIP,MI,3,26,0,198,26
13,1,KXIP,MI,4,32,0,198,32
13,1,KXIP,MI,5,39,0,198,31
13,1,KXIP,MI,6,46,1,198,31
13,1,KXIP,MI,7,52,1,198,26
13,1,KXIP,MI,8,58,1,198,26
13,1,KXIP,MI,9,63,1,198,24
13,1,KXIP,MI,10,69,1,198,23
13,1,KXIP,MI,11,80,2,198,28
13,1,KXIP,MI,12,91,2,198,33
13,1,KXIP,MI,13,100,2,198,37
13,1,KXIP,MI,14,111,2,198,42
13,1,KXIP,MI,15,139,2,198,59
13,1,KXIP,MI,16,161,2,198,70
13,1,KXIP,MI,17,165,3,198,65
13,1,KXIP,MI,18,170,4,198,59
13,1,KXIP,MI,19,180,4,198,41
13,1,KXIP,MI,20,198,4,198,37
14,1,MI,DC,1,8,0,142,8
14,1,MI,DC,2,20,0,142,20
14,1,MI,DC,3,29,0,142,29
14,1,MI,DC,4,37,1,142,37
14,1,MI,DC,5,47,1,142,39
14,1,MI,DC,6,48,2,142,28
14,1,MI,DC,7,56,2,142,27
14,1,MI,DC,8,60,3,142,23
14,1,MI,DC,9,61,4,142,14
14,1,MI,DC,10,68,4,142,20
14,1,MI,DC,11,74,4,142,18
14,1,MI,DC,12,82,4,142,22
14,1,MI,DC,13,84,5,142,23
14,1,MI,DC,14,94,5,142,26
14,1,MI,DC,15,102,5,142,28
14,1,MI,DC,16,110,5,142,28
14,1,MI,DC,17,120,5,142,36
14,1,MI,DC,18,123,6,142,29
14,1,MI,DC,19,132,7,142,30
14,1,MI,DC,20,142,8,142,32
15,1,KKR,RCB,1,18,0,131,18
15,1,KKR,RCB,2,25,0,131,25
15,1,KKR,RCB,3,39,0,131,39
15,1,KKR,RCB,4,52,1,131,52
15,1,KKR,RCB,5,56,1,131,38
15,1,KKR,RCB,6,65,2,131,40
15,1,KKR,RCB,7,68,3,131,29
15,1,KKR,RCB,8,73,3,131,21
15,1,KKR,RCB,9,79,3,131,23
15,1,KKR,RCB,10,87,4,131,22
15,1,KKR,RCB,11,93,4,131,25
15,1,KKR,RCB,12,94,6,131,21
15,1,KKR,RCB,13,98,6,131,19
15,1,KKR,RCB,14,100,6,131,13
15,1,KKR,RCB,15,107,6,131,14
15,1,KKR,RCB,16,116,6,131,22
15,1,KKR,RCB,17,122,7,131,24
15,1,KKR,RCB,18,126,9,131,26
15,1,KKR,RCB,19,131,9,131,24
15,1,KKR,RCB,20,131,10,131,15
16,1,DC,KKR,1,5,0,160,5
16,1,DC,KKR,2,17,0,160,17
16,1,DC,KKR,3,31,0,160,31
16,1,DC,KKR,4,41,0,160,41
16,1,DC,KKR,5,48,1,160,43
16,1,DC,KKR,6,53,1,160,36
16,1,DC,KKR,7,60,1,160,29
16,1,DC,KKR,8,66,1,160,25
16,1,DC,KKR,9,71,1,160,23
16,1,DC,KKR,10,78,1,160,25
16,1,DC,KKR,11,83,1,160,23
16,1,DC,KKR,12,93,1,160,27
16,1,DC,KKR,13,108,1,160,37
16,1,DC,KKR,14,123,2,160,45
16,1,DC,KKR,15,131,2,160,48
16,1,DC,KKR,16,140,4,160,47
16,1,DC,KKR,17,146,4,160,38
16,1,DC,KKR,18,149,5,160,26
16,1,DC,KKR,19,154,5,160,23
16,1,DC,KKR,20,160,6,160,20
17,1,SRH,KXIP,1,3,0,207,3
17,1,SRH,KXIP,2,13,0,207,13
17,1,SRH,KXIP,3,22,0,207,22
17,1,SRH,KXIP,4,33,0,207,33
17,1,SRH,KXIP,5,50,0,207,47
17,1,SRH,KXIP,6,60,0,207,47
17,1,SRH,KXIP,7,72,0,207,50
17,1,SRH,KXIP,8,83,0,207,50
17,1,SRH,KXIP,9,99,0,207,49
17,1,SRH,KXIP,10,107,1,207,47
17,1,SRH,KXIP,11,113,1,207,41
17,1,SRH,KXIP,12,120,1,207,37
17,1,SRH,KXIP,13,131,1,207,32
17,1,SRH,KXIP,14,143,1,207,36
17,1,SRH,KXIP,15,155,2,207,42
17,1,SRH,KXIP,16,160,2,207,40
17,1,SRH,KXIP,17,171,2,207,40
17,1,SRH,KXIP,18,176,3,207,33
17,1,SRH,KXIP,19,196,3,207,41
17,1,SRH,KXIP,20,207,3,207,47
18,1,DC,KXIP,1,1,1,67,1
18,1,DC,KXIP,2,2,1,67,2
18,1,DC,KXIP,3,7,2,67,7
18,1,DC,KXIP,4,13,2,67,13
18,1,DC,KXIP,5,22,3,67,21
18,1,DC,KXIP,6,25,3,67,23
18,1,DC,KXIP,7,29,4,67,22
18,1,DC,KXIP,8,31,5,67,18
18,1,DC,KXIP,9,33,6,67,11
18,1,DC,KXIP,10,37,6,67,12
18,1,DC,KXIP,11,46,6,67,17
18,1,DC,KXIP,12,51,6,67,20
18,1,DC,KXIP,13,58,6,67,25
18,1,DC,KXIP,14,59,6,67,22
18,1,DC,KXIP,15,60,7,67,14
18,1,DC,KXIP,16,65,8,67,14
18,1,DC,KXIP,17,67,9,67,9
18,1,DC,KXIP,18,67,10,67,8
19,1,SRH,KKR,1,6,0,209,6
19,1,SRH,KKR,2,18,0,209,18
19,1,SRH,KKR,3,35,0,209,35
19,1,SRH,KKR,4,52,0,209,52
19,1,SRH,KKR,5,67,0,209,61
19,1,SRH,KKR,6,79,0,209,61
19,1,SRH,KKR,7,87,0,209,52
19,1,SRH,KKR,8,94,0,209,42
19,1,SRH,KKR,9,105,0,209,38
19,1,SRH,KKR,10,123,0,209,44
19,1,SRH,KKR,11,126,0,209,39
19,1,SRH,KKR,12,133,0,209,39
19,1,SRH,KKR,13,140,1,209,35
19,1,SRH,KKR,14,146,1,209,23
19,1,SRH,KKR,15,154,1,209,28
19,1,SRH,KKR,16,169,1,209,36
19,1,SRH,KKR,17,175,2,209,35
19,1,SRH,KKR,18,186,2,209,40
19,1,SRH,KKR,19,202,2,209,48
19,1,SRH,KKR,20,209,3,209,40
20,1,RCB,MI,1,10,0,162,10
20,1,RCB,MI,2,16,0,162,16
20,1,RCB,MI,3,21,0,162,21
20,1,RCB,MI,4,31,1,162,31
20,1,RCB,MI,5,40,1,162,30
20,1,RCB,MI,6,52,2,162,36
20,1,RCB,MI,7,56,2,162,35
20,1,RCB,MI,8,63,2,162,32
20,1,RCB,MI,9,76,2,162,36
20,1,RCB,MI,10,80,2,162,28
20,1,RCB,MI,11,87,3,162,31
20,1,RCB,MI,12,96,3,162,33
20,1,RCB,MI,13,106,4,162,30
20,1,RCB,MI,14,111,5,162,31
20,1,RCB,MI,15,115,5,162,28
20,1,RCB,MI,16,122,5,162,26
20,1,RCB,MI,17,132,5,162,26
20,1,RCB,MI,18,147,5,162,36
20,1,RCB,MI,19,157,5,162,42
20,1,RCB,MI,20,162,8,162,40
21,1,SRH,DC,1,4,0,185,4
21,1,SRH,DC,2,15,0,185,15
21,1,SRH,DC,3,25,0,185,25
21,1,SRH,DC,4,40,0,185,40
21,1,SRH,DC,5,49,0,185,45
21,1,SRH,DC,6,66,1,185,51
21,1,SRH,DC,7,67,1,185,42
21,1,SRH,DC,8,75,1,185,35
21,1,SRH,DC,9,78,2,185,29
21,1,SRH,DC,10,83,2,185,17
21,1,SRH,DC,11,90,2,185,23
21,1,SRH,DC,12,93,3,185,18
21,1,SRH,DC,13,98,3,185,20
21,1,SRH,DC,14,106,3,185,23
21,1,SRH,DC,15,114,3,185,24
21,1,SRH,DC,16,126,3,185,33
21,1,SRH,DC,17,133,3,185,35
21,1,SRH,DC,18,153,3,185,47
21,1,SRH,DC,19,166,3,185,52
21,1,SRH,DC,20,185,3,185,59
22,1,KXIP,RCB,1,2,1,138,2
22,1,KXIP,RCB,2,11,1,138,11
22,1,KXIP,RCB,3,15,1,138,15
22,1,KXIP,RCB,4,19,2,138,19
22,1,KXIP,RCB,5,29,2,138,27
22,1,KXIP,RCB,6,35,2,138,24
22,1,KXIP,RCB,7,39,3,138,24
22,1,KXIP,RCB,8,42,3,138,23
22,1,KXIP,RCB,9,53,3,138,24
22,1,KXIP,RCB,10,55,3,138,20
22,1,KXIP,RCB,11,60,3,138,21
22,1,KXIP,RCB,12,63,4,138,21
22,1,KXIP,RCB,13,70,4,138,17
22,1,KXIP,RCB,14,79,5,138,24
22,1,KXIP,RCB,15,84,5,138,24
22,1,KXIP,RCB,16,99,5,138,36
22,1,KXIP,RCB,17,110,5,138,40
22,1,KXIP,RCB,18,119,6,138,40
22,1,KXIP,RCB,19,119,7,138,35
22,1,KXIP,RCB,20,138,7,138,39
23,1,MI,DC,1,3,0,212,3
23,1,MI,DC,2,10,0,212,10
23,1,MI,DC,3,18,0,212,18
23,1,MI,DC,4,31,0,212,31
23,1,MI,DC,5,41,0,212,38
23,1,MI,DC,6,60,0,212,50
23,1,MI,DC,7,65,0,212,47
23,1,MI,DC,8,76,0,212,45
23,1,MI,DC,9,79,1,212,38
23,1,MI,DC,10,84,1,212,24
23,1,MI,DC,11,97,1,212,32
23,1,MI,DC,12,109,1,212,33
23,1,MI,DC,13,122,2,212,43
23,1,MI,DC,14,139,2,212,55
23,1,MI,DC,15,148,2,212,51
23,1,MI,DC,16,155,3,212,46
23,1,MI,DC,17,166,3,212,44
23,1,MI,DC,18,182,3,212,43
23,1,MI,DC,19,189,3,212,41
23,1,MI,DC,20,212,3,212,57
24,1,RCB,KKR,1,1,1,158,1
24,1,RCB,KKR,2,12,1,158,12
24,1,RCB,KKR,3,20,2,158,20
24,1,RCB,KKR,4,29,2,158,29
24,1,RCB,KKR,5,34,3,158,33
24,1,RCB,KKR,6,40,3,158,28
24,1,RCB,KKR,7,49,3,158,29
24,1,RCB,KKR,8,54,3,158,25
24,1,RCB,KKR,9,59,3,158,25
24,1,RCB,KKR,10,63,3,158,23
24,1,RCB,KKR,11,71,3,158,22
24,1,RCB,KKR,12,78,3,158,24
24,1,RCB,KKR,13,84,3,158,25
24,1,RCB,KKR,14,96,3,158,33
24,1,RCB,KKR,15,105,3,158,34
24,1,RCB,KKR,16,108,4,158,30
24,1,RCB,KKR,17,115,4,158,31
24,1,RCB,KKR,18,125,4,158,29
24,1,RCB,KKR,19,137,5,158,32
24,1,RCB,KKR,20,158,6,158,50
25,1,MI,SRH,1,3,0,138,3
25,1,MI,SRH,2,4,1,138,4
25,1,MI,SRH,3,20,1,138,20
25,1,MI,SRH,4,22,1,138,22
25,1,MI,SRH,5,29,2,138,26
25,1,MI,SRH,6,36,2,138,32
25,1,MI,SRH,7,42,3,138,22
25,1,MI,SRH,8,45,3,138,23
25,1,MI,SRH,9,53,3,138,24
25,1,MI,SRH,10,59,3,138,23
25,1,MI,SRH,11,67,3,138,25
25,1,MI,SRH,12,72,3,138,27
25,1,MI,SRH,13,80,3,138,27
25,1,MI,SRH,14,95,3,138,36
25,1,MI,SRH,15,99,4,138,32
25,1,MI,SRH,16,110,4,138,38
25,1,MI,SRH,17,112,4,138,32
25,1,MI,SRH,18,126,4,138,31
25,1,MI,SRH,19,132,5,138,33
25,1,MI,SRH,20,138,7,138,28
26,1,KXIP,KKR,1,8,0,167,8
26,1,KXIP,KKR,2,11,0,167,11
26,1,KXIP,KKR,3,19,0,167,19
26,1,KXIP,KKR,4,28,0,167,28
26,1,KXIP,KKR,5,39,1,167,31
26,1,KXIP,KKR,6,41,2,167,30
26,1,KXIP,KKR,7,45,2,167,26
26,1,KXIP,KKR,8,54,2,167,26
26,1,KXIP,KKR,9,57,3,167,18
26,1,KXIP,KKR,10,63,3,167,22
26,1,KXIP,KKR,11,67,3,167,22
26,1,KXIP,KKR,12,86,3,167,32
26,1,KXIP,KKR,13,97,3,167,40
26,1,KXIP,KKR,14,105,3,167,42
26,1,KXIP,KKR,15,115,3,167,48
26,1,KXIP,KKR,16,128,4,167,42
26,1,KXIP,KKR,17,134,4,167,37
26,1,KXIP,KKR,18,148,5,167,43
26,1,KXIP,KKR,19,158,6,167,43
26,1,KXIP,KKR,20,167,6,167,39
27,1,KXIP,MI,1,13,0,230,13
27,1,KXIP,MI,2,29,0,230,29
27,1,KXIP,MI,3,32,0,230,32
27,1,KXIP,MI,4,51,0,230,51
27,1,KXIP,MI,5,60,0,230,47
27,1,KXIP,MI,6,71,1,230,42
27,1,KXIP,MI,7,85,1,230,53
27,1,KXIP,MI,8,100,1,230,49
27,1,KXIP,MI,9,121,1,230,61
27,1,KXIP,MI,10,126,1,230,55
27,1,KXIP,MI,11,131,2,230,46
27,1,KXIP,MI,12,141,2,230,41
27,1,KXIP,MI,13,147,2,230,26
27,1,KXIP,MI,14,161,2,230,35
27,1,KXIP,MI,15,173,2,230,42
27,1,KXIP,MI,16,190,3,230,49
27,1,KXIP,MI,17,198,3,230,51
27,1,KXIP,MI,18,207,3,230,46
27,1,KXIP,MI,19,214,3,230,41
27,1,KXIP,MI,20,230,3,230,40
28,1,MI,KKR,1,2,0,173,2
28,1,MI,KKR,2,12,0,173,12
28,1,MI,KKR,3,18,1,173,18
28,1,MI,KKR,4,32,1,173,32
28,1,MI,KKR,5,39,1,173,37
28,1,MI,KKR,6,51,1,173,39
28,1,MI,KKR,7,57,1,173,39
28,1,MI,KKR,8,68,1,173,36
28,1,MI,KKR,9,72,2,173,33
28,1,MI,KKR,10,79,2,173,28
28,1,MI,KKR,11,86,2,173,29
28,1,MI,KKR,12,94,2,173,26
28,1,MI,KKR,13,99,2,173,27
28,1,MI,KKR,14,105,2,173,26
28,1,MI,KKR,15,118,2,173,32
28,1,MI,KKR,16,130,3,173,36
28,1,MI,KKR,17,139,3,173,40
28,1,MI,KKR,18,157,3,173,52
28,1,MI,KKR,19,168,4,173,50
28,1,MI,KKR,20,173,5,173,43
29,1,RCB,DC,1,10,0,161,10
29,1,RCB,DC,2,17,0,161,17
29,1,RCB,DC,3,19,0,161,19
29,1,RCB,DC,4,27,0,161,27
29,1,RCB,DC,5,30,1,161,20
29,1,RCB,DC,6,37,1,161,20
29,1,RCB,DC,7,41,1,161,22
29,1,RCB,DC,8,48,1,161,21
29,1,RCB,DC,9,59,1,161,29
29,1,RCB,DC,10,66,1,161,29
29,1,RCB,DC,11,71,1,161,30
29,1,RCB,DC,12,90,1,161,42
29,1,RCB,DC,13,96,1,161,37
29,1,RCB,DC,14,101,2,161,35
29,1,RCB,DC,15,107,3,161,36
29,1,RCB,DC,16,112,3,161,22
29,1,RCB,DC,17,126,4,161,30
29,1,RCB,DC,18,135,5,161,34
29,1,RCB,DC,19,145,6,161,38
29,1,RCB,DC,20,161,6,161,49
30,1,SRH,KKR,1,7,0,128,7
30,1,SRH,KKR,2,13,0,128,13
30,1,SRH,KKR,3,20,0,128,20
30,1,SRH,KKR,4,25,0,128,25
30,1,SRH,KKR,5,27,1,128,20
30,1,SRH,KKR,6,30,1,128,17
30,1,SRH,KKR,7,37,1,128,17
30,1,SRH,KKR,8,39,1,128,14
30,1,SRH,KKR,9,48,1,128,21
30,1,SRH,KKR,10,61,1,128,31
30,1,SRH,KKR,11,71,1,128,34
30,1,SRH,KKR,12,75,2,128,36
30,1,SRH,KKR,13,80,3,128,32
30,1,SRH,KKR,14,85,3,128,24
30,1,SRH,KKR,15,98,3,128,27
30,1,SRH,KKR,16,103,4,128,28
30,1,SRH,KKR,17,105,4,128,25
30,1,SRH,KKR,18,118,4,128,33
30,1,SRH,KKR,19,121,6,128,23
30,1,SRH,KKR,20,128,7,128,25
31,1,KKR,MI,1,3,0,107,3
31,1,KKR,MI,2,5,1,107,5
31,1,KKR,MI,3,13,1,107,13
31,1,KKR,MI,4,22,1,107,22
31,1,KKR,MI,5,25,2,107,22
31,1,KKR,MI,6,25,3,107,20
31,1,KKR,MI,7,31,5,107,18
31,1,KKR,MI,8,36,5,107,14
31,1,KKR,MI,9,39,5,107,14
31,1,KKR,MI,10,43,5,107,18
31,1,KKR,MI,11,53,5,107,22
31,1,KKR,MI,12,61,5,107,25
31,1,KKR,MI,13,71,5,107,32
31,1,KKR,MI,14,83,5,107,40
31,1,KKR,MI,15,88,6,107,35
31,1,KKR,MI,16,92,6,107,31
31,1,KKR,MI,17,101,8,107,30
31,1,KKR,MI,18,106,9,107,23
31,1,KKR,MI,19,107,10,107,19
32,1,KKR,RCB,1,3,0,222,3
32,1,KKR,RCB,2,21,0,222,21
32,1,KKR,RCB,3,27,0,222,27
32,1,KKR,RCB,4,50,0,222,50
32,1,KKR,RCB,5,60,0,222,57
32,1,KKR,RCB,6,61,1,222,40
32,1,KKR,RCB,7,68,1,222,41
32,1,KKR,RCB,8,73,1,222,23
32,1,KKR,RCB,9,77,1,222,17
32,1,KKR,RCB,10,87,1,222,26
32,1,KKR,RCB,11,102,1,222,34
32,1,KKR,RCB,12,112,1,222,39
32,1,KKR,RCB,13,124,2,222,47
32,1,KKR,RCB,14,130,2,222,43
32,1,KKR,RCB,15,154,2,222,52
32,1,KKR,RCB,16,158,2,222,46
32,1,KKR,RCB,17,172,2,222,48
32,1,KKR,RCB,18,179,3,222,49
32,1,KKR,RCB,19,200,3,222,46
32,1,KKR,RCB,20,222,3,222,64
33,1,CSK,KXIP,1,5,0,240,5
33,1,CSK,KXIP,2,20,0,240,20
33,1,CSK,KXIP,3,27,1,240,27
33,1,CSK,KXIP,4,33,1,240,33
33,1,CSK,KXIP,5,42,1,240,37
33,1,CSK,KXIP,6,53,1,240,33
33,1,CSK,KXIP,7,62,2,240,35
